codigo,descripcion
AY0281,Alambre puas  cal 13x300m
AY0282,Alambre púas cal  16x400m
AY0283,Alambre púas cal  16x500m
DSA208,Tubo ppr          90mmx3m
DSA209,Tubo ppr         110mmx3m
DSA210,Tubo ppr         160mmx3m
DSA301,Tubo ppr          20mmx4m
DSA302,Tubo ppr          25mmx4m
DSA303,Tubo ppr          32mmx4m
DSA304,Tubo ppr          40mmx4m
DSA305,Tubo ppr          50mmx4m
DSA306,Tubo ppr          63mmx4m
DSB001,Anillo liso de      20 mm
DSB002,Anillo liso de      25 mm
DSB003,Anillo liso de      32 mm
DSB004,Anillo liso de      40 mm
DSB005,Anillo liso de      50 mm
DSB006,Anillo liso de      63 mm
DSB007,Anillo liso de      75 mm
DSB008,Anillo liso de      90 mm
DSB009,Anillo liso de     110 mm
DSB010,Anillo liso de     160 mm
DSB101,Anillo reduc.lisa 25x20mm
DSB102,Anillo reduc.lisa 32x20mm
DSB103,Anillo reduc.lisa 32x25mm
DSB104,Anillo reduc.lisa 40x20mm
DSB105,Anillo reduc.lisa 40x25mm
DSB106,Anillo reduc.lisa 40x32mm
DSB107,Anillo reduc.lisa 50x20mm
DSB108,Anillo reduc.lisa 50x25mm
DSB109,Anillo reduc.lisa 50x32mm
DSB110,Anillo reduc.lisa 50x40mm
DSB111,Anillo reduc.lisa 63x20mm
DSB112,Anillo reduc.lisa 63x25mm
DSB113,Anillo reduc.lisa 63x32mm
DSB114,Anillo reduc.lisa 63x40mm
DSB115,Anillo reduc.lisa 63x50mm
DSB116,Anillo reduc.lisa 75x32mm
DSB117,Anillo reduc.lisa 75x40mm
DSB118,Anillo reduc.lisa 75x50mm
DSB119,Anillo reduc.lisa 75x63mm
DSB120,Anillo reduc.lisa 90x40mm
DSB121,Anillo reduc.lisa 90x50mm
DSB122,Anillo reduc.lisa 90x63mm
DSB123,Anillo reduc.lisa 90x75mm
DSB124,Anillo reduc.lisa110x50mm
DSB125,Anillo reduc.lisa110x63mm
DSB126,Anillo reduc.lisa110x75mm
DSB127,Anillo reduc.lisa110x90mm
DSB128,Anillo redu.lisa160x100mm
DSB201,"Adap.c/rosca hem20mmx1/2"""
DSB202,"Adap.c/rosca hem20mmx3/4"""
DSB203,"Adap.c/rosca hem25mmx1/2"""
DSB204,"Adap.c/rosca hem25mmx3/4"""
DSB205,"Adap.c/rosca hem32mmx1/2"""
DSB206,"Adap.c/rosca hem32mmx3/4"""
DSB207,"Adap.c/rosca hem  32mmx1"""
DSB208,"Adap.c/roschem40mmx1 1/4"""
DSB209,"Adap.c/roschem50mmx1 1/2"""
DSB210,"Adap.c/rosca hem  63mmx2"""
DSB211,"Adap.c/roschem75mmx2 1/2"""
DSB212,"Adap.c/rosca hem  90mmx3"""
DSB213,"Adap.c/rosca hem 110mmx4"""
DSB301,"Adap.rosca macho20mmx1/2"""
DSB302,"Adap.c/roscmacho20mmx3/4"""
DSB303,"Adap.rosca macho25mmx1/2"""
DSB304,"Adap.c/roscmacho25mmx3/4"""
DSB305,"Adap.c/roscmacho32mmx1/2"""
DSB306,"Adap.c/roscmacho32mmx3/4"""
DSB307,"Adap.c/rosca macho32mmx1"""
DSB308,"Ad.rosca macho40mmx1 1/4"""
DSB309,"Ad.rosca macho50mmx1 1/2"""
DSB310,"Ad.rosca macho 63mm x  2"""
DSB311,"Ad.rosca macho75mmx2 1/2"""
DSB312,"Adap.c/rosca macho90mmx3"""
DSB313,"Adap.c/rosc macho110mmx4"""
DSB901,Reducc.int/extbush25x20mm
DSB902,Reducc.int/extbush32x20mm
DSB903,Reducc.int/extbush32x25mm
DSB904,Reducc.int/extbush40x20mm
DSB905,Reducc.int/extbush40x25mm
DSB906,Reducc.int/extbush40x32mm
DSB909,Reducc.int/extbush50x32mm
DSB910,Reducc.int/extbush50x40mm
DSB913,Reducc.int/extbush63x32mm
DSB914,Reducc.int/extbush63x40mm
DSB915,Reducc.int/extbush63x50mm
DSC001,Tee lisa de         20 mm
DSC002,Tee lisa de         25 mm
DSC003,Tee lisa de         32 mm
DSC004,Tee lisa de         40 mm
DSC005,Tee lisa de         50 mm
DSC006,Tee lisa de         63 mm
DSC007,Tee lisa de         75 mm
