codigo,name
178,ACEROMAT C.A.
105,ACEROS LAMINADOS  C.A.
9849,ACEROS MUCCI  C.A.
506,ALAFLETES  C.A.
11938,ALAMBRES DEL YARACUY  C.A.
183,ALAMBRES TREFILADOS ALCEN C.A.
132,ALFAJOL  C.A.
117,ALMAGAL  S.A.
10405,ARCELOR INTERNATIONAL VENEZUELA
515,BECOBLOHM LA GUAIRA  C.A.
505,BECOBLOHM PUERTO CABELLO  C.A.
10463,BECOBLOHM VALENCIA  C.A.
10233,BHEPAL INTERNACIONAL C.A.
516,C.A. PRIMA
192,C.A. PRODUCTOS DE ACERO
162,C.A.PRIMA
129,CABILLAS DEL CENTRO  C.A.
138,CABILLAS Y PERFILES C.A.
11334,CABILLAS Y PRODUCTOS SIDERURGICOS CAPROSI  C.A.
108,CEMENTOS CARIBE C.A.
9898,CENTRO FERRETERO EL PICO C.A.
188,CENTROBECO C.A.
11287,CHAPEL STEEL
166,COMERCIAL LADA  C.A.
10675,COMERCIAL LOPEZ GONZALEZ C.A.
11656,COMERCIALIZADORA CABIPERCA  C.A.
11712,COMERCIALIZADORA PERFRICA
508,COMP.SIDERURGICA GUADALAJARA
10621,COMPAÑIA DISTRIBUIDORA DE MATERIALE S C.A
11738,COMPLEJO SIDERURGICO NACIONAL  S.A.
171,CON-MET. EL AMPARO.
124,CONSORCIO GUINAND BRILLEMBOURG
123,CONSTRUCTORA RIGEL  C.A.
9553,CONSTRUCTORA 397 C.A.
9517,CORPORACION DE ACERO CORPACERO
10190,CORPORACION DOS RIOS C.A.
517,CORPORACION J.M.ARISTRAIN  S.A
9664,CORPORACION REYFECA  C.A.
143,DELTA-ACERO
502,DIKEMA EXPORT  B.V.
110,DISTR.DE PROD.SIDERURGICOS C.A
175,DISTRIBUIDORA B.L.S. C.A.
11671,DISTRIBUIDORA CABIPERCA  C.A.
9802,DISTRIBUIDORA DE TUBOS LARA  C.A.
9992,DISTRIBUIDORA DELTA ACERO
120,DISTRIBUIDORA GALVALUME 2000  C.A.
11657,DISTRIBUIDORA PERFRICA  C.A.
180,DISTRIBUIDORA SUCEMENTO  C.A.
168,DISTULAR NORTE  C.A.
519,DUFERCO
9585,ECA CONSTRUCCIONES  C.A.
521,EMESCA RYAN WALSH S.A.
179,ENREJADOS METALICOS ACERO GRILL  C.
119,FEMAPRA  C.A.
181,FERRETERIA BICOLOR  C.A.
136,FERRETERIA BOLIVAR S.A.
170,FERRETERIA FONTANA S.A.
10546,FERRETERIA PRINCIPAL  C.A.
509,FERROSTAAL AG.
118,FERRUM C.A.
9537,FIMASTEEL LIMITED.
9538,FORJADOS TINAQUILLO C.A.
10036,FRAMAR C.A.
125,FUND. IND. MEC.Y ARTISTICA C.A
142,GANGAHIERROS C.A.
190,GRALPE C.A.
11709,GRUPO METALOY S.A. DE C.V.
513,GSG GMBH Y CO. KG
189,H. WELLE S.A.
137,HIDROELECTRICA CONSTRUCCIONES
194,HIERRO BARQUISIMETO  C.A.
145,HIERRO COJEDES  C.A.
156,HIERRO LARA  C.A.
141,HIERRO ORIENTE S.A.
160,HIERRO PALENCIA C.A.
135,HIERRO Y ACERO C.A.
128,HIERROBECO CENTRO  C.A.
167,HIERROBECO C.A.
186,HIERROCOR.
163,HIERROS SAN FELIX  C.A.
9846,HIERROS Y FERRETERIA CRIOLLA  C.A.
510,HOLIFA
9541,IDERCA VALENCIA C.A.
197,IND.METALURG.NACIONALES  C.A.
112,INDUSTRIAS ESTELLER  C.A.
9752,INDUSTRIAS MARULLO  S.A.
185,INDUSTRIAS METALICAS Y CERCAS AMERI
199,INDUSTRIAS METALICAS Y CERCAS AMERI
164,INDUSTRIAS TURMERO C.A.
126,INDUSTRIAS UNICON  C.A.
182,INTERAMERICANA DE PRODUCTOS CA
139,INTERMETAL GUAYANA  C.A.
174,INVERSIONES METALURGICAS 2000
11921,INVERSIONES MIRO 2009  C.A.
9685,INVERSIONES RELAMPAGO  C.A.
9857,ISI.ASESORIA Y SERV INDUSTRIALES C.
501,KLOCKNER STEEL TRADE
11940,KORCULA  C.A.
193,L.V.SUPLY C.A.
9613,LAMINADOS COJEDES  C.A.
507,LUBRIMETAL  S.P.A.
114,LUMETAL  C.A.
148,MACRO-CORTE C.A.
10416,MAINMARKET LONDON & CO.
503,MAISON F MATHIE U
9605,MALLAS DEL CENTRO  C.A
161,MANUEL CHACIN SUCESORES  C.A.
153,MANUFACTURAS Y DERIVADOS DE ALAMBRE
104,MATERIALES DE PLOMERIA C.A.
10291,MATERIALES M Y C C.A.
146,MATERIALES MATURIN C.A.
177,MATERIALES OBRA VISTA S.R.L
9514,MATERIALES PARA TECHOS  C.A.
169,MATERIALES TRASLOP  C.A.
147,MATORCA MATERIALES ORIENTALES
9616,MAYASOL  C.A.
9847,MERCANTIL RODRIGUEZ VELIZ  C.A.
122,METALANXUR  C.A.
172,METALMARA C.A.
10116,METALPARTES INDUSTRIAS  S.A.
109,METALSUR  C.A.
10105,METALVEN  C.A.
130,MOTA SANCHEZ Y CIA S.AMOTASA
10166,MOTASA GUARENAS S.A.
154,MOTASA TUBERIAS S.A.
115,MOTASA VALENCIA  C.A.
9938,MULTIACERO  C.A.
11685,NAOKO MOTORS  C.A.
11244,NASUMIN  C.A.
10129,NORTH SHORE SUPPLY COMPANY
116,OCAMAR
195,ORG.HIERROS VENEZOLANOS  C.A.
514,OVERSEAS COMPUTER TRADING CORP
133,PERFILACA
11834,PERFILADORA GUAYANA  C.A.
157,PERFILES DEL ESTE  C.A.
144,PERFILES EN FRIO  C.A.
149,PERFILSA S.A.
103,PERFIMET  C.A.
11085,PILOTES PERFORADOS  C.A.
158,PREACERO PELLIZZARI
511,PREUSSAG HANDEL GMBH
520,PRIMEX STEEL TRADING
9510,PROCESADORA SIDERURGICA  C.A.
131,PROD.SID S.A.PROSIDER
140,PRODUCTORA DE PERFILES C.A. PROPERC
113,PRODUCTOS DE ACERO LAMIGAL C.A.
134,PROMETALCA  C.A.
10025,PROMOTORES Y DESARROLLO ATLANTICO 
500,PROVEEDORES IMPORTACION
100,PROVEEDORES MATERIALES
150,PROVEEDORES VARIOS
111,RECUPEX  S.A.
10468,REMECA REJILLAS Y METALES  C.A.
9558,ROHR-UND BAVELEMENT GMBH
121,SERVI HIERRO CARABOBO S.A.
187,SERVICIOS COMPLETOS  C.A.
151,SIDERO GALVANICA  C.A.
107,SIDERURGICA DEL TURBIO S.A.
102,SIDOR  C.A.(PROD.PLANOS).
101,SIDOR C.A.
9813,SOCOMINTER  S.A.
10271,SOUTH AMERICAN TRADING C.A.SATCA
10328,STC INTERMESA TRADING CO
11732,STEEL IG MEXICO S.A. DE C.V.
173,SUMINDU  S.A.
10261,SUMINISTROS FELVI C.A.
9554,SUMINISTROS J.E.
9789,SUMINISTROS RIOJA RUSTICOS  C.A.
155,SUPLIDORA DE MATERIALES CARABOBO C.
191,SUPLIDORA DEL SUR  C.A.
198,TAD CHACIN S.A.
